,gamma,alpha,p
0,0.1,1.5,1.400170048437466e-20
1,0.2,1.5,1.405069030030462e-18
2,0.30000000000000004,1.5,3.574483973888389e-17
3,0.4,1.5,3.2073854461043675e-16
4,0.5,1.5,1.274299936584645e-15
5,0.6,1.5,2.641041559019867e-15
6,0.7000000000000001,1.5,3.2271029614881015e-15
7,0.8,1.5,2.5536292284431433e-15
8,0.9,1.5,1.4085715284275879e-15
9,1.0,1.5,5.74369936794983e-16
10,1.1,1.5,1.8157848972778598e-16
11,1.2000000000000002,1.5,4.627510159034157e-17
12,1.3000000000000003,1.5,9.819490918737884e-18
13,1.4000000000000001,1.5,1.7825335123711218e-18
14,1.5000000000000002,1.5,2.832015053667603e-19
15,1.6,1.5,4.014808925035892e-20
16,1.7000000000000002,1.5,5.163186863494309e-21
17,1.8000000000000003,1.5,6.109539842160028e-22
18,1.9000000000000001,1.5,6.733512167075343e-23
19,2.0,1.5,6.985679614705706e-24
20,2.1,1.5,6.884903024931487e-25
21,0.1,1.6,9.339475991136507e-19
22,0.2,1.6,1.0414105919993696e-16
23,0.30000000000000004,1.6,2.877159098263403e-15
24,0.4,1.6,2.759444156556517e-14
25,0.5,1.6,1.1582176932988425e-13
26,0.6,1.6,2.513443990803362e-13
27,0.7000000000000001,1.6,3.1933182743899596e-13
28,0.8,1.6,2.6126824499100447e-13
29,0.9,1.6,1.4832824616348647e-13
30,1.0,1.6,6.201796826415838e-14
31,1.1,1.6,2.004049598925636e-14
32,1.2000000000000002,1.6,5.2067178021058704e-15
33,1.3000000000000003,1.6,1.1238479233449242e-15
34,1.4000000000000001,1.6,2.0712385384552506e-16
35,1.5000000000000002,1.6,3.335424040084624e-17
36,1.6,1.6,4.7859704236005535e-18
37,1.7000000000000002,1.6,6.22214966229665e-19
38,1.8000000000000003,1.6,7.435065626308804e-20
39,1.9000000000000001,1.6,8.267338058237464e-21
40,2.0,1.6,8.646168394269134e-22
41,2.1,1.6,8.583988236033552e-23
42,0.1,1.7000000000000002,3.48110260617425e-17
43,0.2,1.7000000000000002,4.310829529420419e-15
44,0.30000000000000004,1.7000000000000002,1.2916447077447207e-13
45,0.4,1.7000000000000002,1.3219578574353495e-12
46,0.5,1.7000000000000002,5.852049446852702e-12
47,0.6,1.7000000000000002,1.3275573475773184e-11
48,0.7000000000000001,1.7000000000000002,1.751002767071621e-11
49,0.8,1.7000000000000002,1.4790970668832658e-11
50,0.9,1.7000000000000002,8.630948393017266e-12
51,1.0,1.7000000000000002,3.6955836819512195e-12
52,1.1,1.7000000000000002,1.2192187991050324e-12
53,1.2000000000000002,1.7000000000000002,3.2257907070601203e-13
54,1.3000000000000003,1.7000000000000002,7.075256504243913e-14
55,1.4000000000000001,1.7000000000000002,1.3226066513401834e-14
56,1.5000000000000002,1.7000000000000002,2.1569286190752396e-15
57,1.6,1.7000000000000002,3.1300548677842026e-16
58,1.7000000000000002,1.7000000000000002,4.110662003837608e-17
59,1.8000000000000003,1.7000000000000002,4.956829358910111e-18
60,1.9000000000000001,1.7000000000000002,5.557086249737296e-19
61,2.0,1.7000000000000002,5.855032702775151e-20
62,2.1,1.7000000000000002,5.852229608544975e-21
63,0.1,1.8000000000000003,7.825192303857771e-16
64,0.2,1.8000000000000003,1.0757854108309238e-13
65,0.30000000000000004,1.8000000000000003,3.491598949151142e-12
66,0.4,1.8000000000000003,3.8076989222195944e-11
67,0.5,1.8000000000000003,1.7749611473217158e-10
68,0.6,1.8000000000000003,4.2026541148805885e-10
69,0.7000000000000001,1.8000000000000003,5.746039873633263e-10
70,0.8,1.8000000000000003,5.004149558518922e-10
71,0.9,1.8000000000000003,2.9973755131538203e-10
72,1.0,1.8000000000000003,1.3126801599180612e-10
73,1.1,1.8000000000000003,4.416357355272959e-11
74,1.2000000000000002,1.8000000000000003,1.1886426157162856e-11
75,1.3000000000000003,1.8000000000000003,2.646584140459972e-12
76,1.4000000000000001,1.8000000000000003,5.013442694239944e-13
77,1.5000000000000002,1.8000000000000003,8.272729964029332e-14
78,1.6,1.8000000000000003,1.2131411946949676e-14
79,1.7000000000000002,1.8000000000000003,1.6081742927964402e-15
80,1.8000000000000003,1.8000000000000003,1.9555427091468758e-16
81,1.9000000000000001,1.8000000000000003,2.2089542551061852e-17
82,2.0,1.8000000000000003,2.343286000883984e-18
83,2.1,1.8000000000000003,2.356638081959368e-19
84,0.1,1.9000000000000004,1.1294897312875225e-14
85,0.2,1.9000000000000004,1.7235373617540243e-12
86,0.30000000000000004,1.9000000000000004,6.053140234769538e-11
87,0.4,1.9000000000000004,7.024085769472437e-10
88,0.5,1.9000000000000004,3.4428469000437957e-09
89,0.6,1.9000000000000004,8.495888198717565e-09
90,0.7000000000000001,1.9000000000000004,1.2024095257295293e-08
91,0.8,1.9000000000000004,1.0781575133397299e-08
92,0.9,1.9000000000000004,6.620505765643372e-09
93,1.0,1.9000000000000004,2.9619977859458482e-09
94,1.1,1.9000000000000004,1.0151076853648313e-09
95,1.2000000000000002,1.9000000000000004,2.7763785274159876e-10
96,1.3000000000000003,1.9000000000000004,6.269287090711814e-11
97,1.4000000000000001,1.9000000000000004,1.2023609257666155e-11
98,1.5000000000000002,1.9000000000000004,2.0057915356754118e-12
99,1.6,1.9000000000000004,2.969949549024412e-13
100,1.7000000000000002,1.9000000000000004,3.971087552347317e-14
101,1.8000000000000003,1.9000000000000004,4.866120429264363e-15
102,1.9000000000000001,1.9000000000000004,5.53470759451867e-16
103,2.0,1.9000000000000004,5.907766223275776e-17
104,2.1,1.9000000000000004,5.9747021272307186e-18
105,0.1,2.0000000000000004,1.1027881949570452e-13
106,0.2,2.0000000000000004,1.8678035448417744e-11
107,0.30000000000000004,2.0000000000000004,7.091959904864157e-10
108,0.4,2.0000000000000004,8.746171056233261e-09
109,0.5,2.0000000000000004,4.501648314419127e-08
110,0.6,2.0000000000000004,1.1562098257015662e-07
111,0.7000000000000001,2.0000000000000004,1.6916473669092167e-07
112,0.8,2.0000000000000004,1.5597726494209614e-07
113,0.9,2.0000000000000004,9.807282955990841e-08
114,1.0,2.0000000000000004,4.477410461284586e-08
115,1.1,2.0000000000000004,1.5613987691139596e-08
116,1.2000000000000002,2.0000000000000004,4.335360000565778e-09
117,1.3000000000000003,2.0000000000000004,9.918858530259112e-10
118,1.4000000000000001,2.0000000000000004,1.9242520789165666e-10
119,1.5000000000000002,2.0000000000000004,3.2425896825719425e-11
120,1.6,2.0000000000000004,4.8441676546007275e-12
121,1.7000000000000002,2.0000000000000004,6.528327738448033e-13
122,1.8000000000000003,2.0000000000000004,8.055963766651943e-14
123,1.9000000000000001,2.0000000000000004,9.22024637042855e-15
124,2.0,2.0000000000000004,9.89688436042564e-16
125,2.1,2.0000000000000004,1.0059338959514341e-16
126,0.1,2.1000000000000005,7.608372354072413e-13
127,0.2,2.1000000000000005,1.4304907932131818e-10
128,0.30000000000000004,2.1000000000000005,5.8677734558771734e-09
129,0.4,2.1000000000000005,7.682526898449952e-08
130,0.5,2.1000000000000005,4.147326735488727e-07
131,0.6,2.1000000000000005,1.107337672177581e-06
132,0.7000000000000001,2.1000000000000005,1.672870157941432e-06
133,0.8,2.1000000000000005,1.5842764991237634e-06
134,0.9,2.1000000000000005,1.0188575692227644e-06
135,1.0,2.1000000000000005,4.7415051316824494e-07
136,1.1,2.1000000000000005,1.6808409279996836e-07
137,1.2000000000000002,2.1000000000000005,4.73337122393437e-08
138,1.3000000000000003,2.1000000000000005,1.0962642913158239e-08
139,1.4000000000000001,2.1000000000000005,2.149475825713268e-09
140,1.5000000000000002,2.1000000000000005,3.655917318019434e-10
141,1.6,2.1000000000000005,5.506328643603622e-11
142,1.7000000000000002,2.1000000000000005,7.474133006535296e-12
143,1.8000000000000003,2.1000000000000005,9.28174591831009e-13
144,1.9000000000000001,2.1000000000000005,1.0683055476403947e-13
145,2.0,2.1000000000000005,1.1524491002178981e-14
146,2.1,2.1000000000000005,1.176597585765385e-15
147,0.1,2.2000000000000006,3.848866587688915e-12
148,0.2,2.2000000000000006,8.03492854146922e-10
149,0.30000000000000004,2.2000000000000006,3.558432242964867e-08
150,0.4,2.2000000000000006,4.941583881063218e-07
151,0.5,2.2000000000000006,2.79502689043064e-06
152,0.6,2.2000000000000006,7.749496130992868e-06
153,0.7000000000000001,2.2000000000000006,1.2075215062019485e-05
154,0.8,2.2000000000000006,1.1733340955226396e-05
155,0.9,2.2000000000000006,7.710021077571972e-06
156,1.0,2.2000000000000006,3.6539054880611302e-06
157,1.1,2.2000000000000006,1.3154824578909532e-06
158,1.2000000000000002,2.2000000000000006,3.753836770458211e-07
159,1.3000000000000003,2.2000000000000006,8.793499230405342e-08
160,1.4000000000000001,2.2000000000000006,1.7412003875062593e-08
161,1.5000000000000002,2.2000000000000006,2.9868783871584055e-09
162,1.6,2.2000000000000006,4.532218043655227e-10
163,1.7000000000000002,2.2000000000000006,6.192001777966399e-11
164,1.8000000000000003,2.2000000000000006,7.733476050652072e-12
165,1.9000000000000001,2.2000000000000006,8.945771109919059e-13
166,2.0,2.2000000000000006,9.693147311419197e-14
167,2.1,2.2000000000000006,9.935045911782586e-15
168,0.1,2.3000000000000007,1.473367836823002e-11
169,0.2,2.3000000000000007,3.4162786254032883e-09
170,0.30000000000000004,2.3000000000000007,1.6326823803326224e-07
171,0.4,2.3000000000000007,2.402918908593892e-06
172,0.5,2.3000000000000007,1.4227114918725214e-05
173,0.6,2.3000000000000007,4.092267385551973e-05
174,0.7000000000000001,2.3000000000000007,6.570616472488641e-05
175,0.8,2.3000000000000007,6.544526900649759e-05
176,0.9,2.3000000000000007,4.3899682252150155e-05
177,1.0,2.3000000000000007,2.1167688496072673e-05
178,1.1,2.3000000000000007,7.73294524507707e-06
179,1.2000000000000002,2.3000000000000007,2.2342095130501204e-06
180,1.3000000000000003,2.3000000000000007,5.289447470388034e-07
181,1.4000000000000001,2.3000000000000007,1.0569186081558594e-07
182,1.5000000000000002,2.3000000000000007,1.8272817423063654e-08
183,1.6,2.3000000000000007,2.7914617094178383e-09
184,1.7000000000000002,2.3000000000000007,3.8361321037981534e-10
185,1.8000000000000003,2.3000000000000007,4.815551207992332e-11
186,1.9000000000000001,2.3000000000000007,5.595172472146015e-12
187,2.0,2.3000000000000007,6.086127208794657e-13
188,2.1,2.3000000000000007,6.259167431166499e-14
189,0.1,2.400000000000001,4.3853130146852644e-11
190,0.2,2.400000000000001,1.1297866370296831e-08
191,0.30000000000000004,2.400000000000001,5.824230664153272e-07
192,0.4,2.400000000000001,9.078365226915927e-06
193,0.5,2.400000000000001,5.622091337203994e-05
194,0.6,2.400000000000001,0.00016762585650754828
195,0.7000000000000001,2.400000000000001,0.0002770990911291496
196,0.8,2.400000000000001,0.00028267412622548505
197,0.9,2.400000000000001,0.00019340090097883032
198,1.0,2.400000000000001,9.480478755668902e-05
199,1.1,2.400000000000001,3.511607821391379e-05
200,1.2000000000000002,2.400000000000001,1.0264699846938482e-05
201,1.3000000000000003,2.400000000000001,2.454246109186827e-06
202,1.4000000000000001,2.400000000000001,4.945291434664105e-07
203,1.5000000000000002,2.400000000000001,8.611172754331426e-08
204,1.6,2.400000000000001,1.3235651764664155e-08
205,1.7000000000000002,2.400000000000001,1.8284586858366143e-09
206,1.8000000000000003,2.400000000000001,2.3056568482405578e-10
207,1.9000000000000001,2.400000000000001,2.6893439583471812e-11
208,2.0,2.400000000000001,2.935115279973252e-12
209,2.1,2.400000000000001,3.0272786562864844e-13
210,0.1,2.500000000000001,1.038945816118866e-10
211,0.2,2.500000000000001,2.975203351809019e-08
212,0.30000000000000004,2.500000000000001,1.653879524706188e-06
213,0.4,2.500000000000001,2.7286463191088843e-05
214,0.5,2.500000000000001,0.00017662456929968143
215,0.6,2.500000000000001,0.0005454745154138021
216,0.7000000000000001,2.500000000000001,0.0009276814688669832
217,0.8,2.500000000000001,0.0009685161826476028
218,0.9,2.500000000000001,0.0006753833567061365
219,1.0,2.500000000000001,0.0003363330328467245
220,1.1,2.500000000000001,0.00012622484134762387
