,height1,height2,height3,height4,height5,height6,width1,width2,width3,width4,width5,width6,heightByWidth1,heightByWidth2,heightByWidth3,heightByWidth4,heightByWidth5,heightByWidth6
0,134,181,143,143,143,143,616,616,172,155,134,149,82544,111496,24596,22165,19162,21307
1,144,213,146,168,247,247,286,328,286,286,165,161,41184,69864,41756,48048,40755,39767
2,123,337,105,230,230,230,616,140,474,153,150,167,75768,47180,49770,35190,34500,38410
3,462,146,146,90,222,222,319,67,226,295,153,140,147378,9782,32996,26550,33966,31080
4,51,53,86,84,92,86,616,616,616,616,616,616,31416,32648,52976,51744,56672,52976
5,462,462,462,150,163,145,95,102,121,292,292,292,43890,47124,55902,43800,47596,42340
6,462,462,462,172,139,147,78,97,116,319,319,319,36036,44814,53592,54868,44341,46893
7,462,97,363,110,251,251,140,474,149,323,165,156,64680,45978,54087,35530,41415,39156
8,462,462,122,113,114,107,81,63,468,468,468,468,37422,29106,57096,52884,53352,50076
9,462,462,55,68,335,335,82,42,488,488,332,154,37884,19404,26840,33184,111220,51590
10,462,462,118,129,211,211,119,175,318,318,162,154,54978,80850,37524,41022,34182,32494
11,462,122,100,98,77,57,326,288,288,288,288,288,150612,35136,28800,28224,22176,16416
12,462,84,376,82,292,292,105,509,82,425,290,133,48510,42756,30832,34850,84680,38836
13,148,149,161,161,161,161,616,616,180,147,147,136,91168,91784,28980,23667,23667,21896
14,462,462,53,407,462,462,48,44,443,443,38,35,22176,20328,23479,180301,17556,16170
15,99,361,361,166,193,193,616,73,85,454,229,223,60984,26353,30685,75364,44197,43039
16,462,92,117,95,84,66,114,500,500,500,500,500,52668,46000,58500,47500,42000,33000
17,462,101,359,113,244,244,117,497,100,395,294,99,54054,50197,35900,44635,71736,24156
18,462,118,342,84,256,256,138,476,138,336,100,234,63756,56168,47196,28224,25600,59904
19,316,144,93,367,314,146,145,145,341,341,126,126,45820,20880,31713,125147,39564,18396
20,462,105,118,93,72,66,142,472,472,472,472,472,65604,49560,55696,43896,33984,31152
21,135,462,233,90,239,221,184,263,184,184,165,165,24840,121506,42872,16560,39435,36465
22,305,155,462,120,204,134,149,149,132,331,331,331,45445,23095,60984,39720,67524,44354
23,462,248,248,212,212,212,124,246,242,140,188,158,57288,61008,60016,29680,39856,33496
24,462,462,123,125,111,97,99,86,427,427,427,427,45738,39732,52521,53375,47397,41419
25,462,462,111,119,132,94,108,116,388,388,388,388,49896,53592,43068,46172,51216,36472
26,462,462,462,462,462,462,120,81,122,107,90,86,55440,37422,56364,49434,41580,39732
27,462,121,339,141,196,196,99,515,200,313,152,159,45738,62315,67800,44133,29792,31164
