,z_all,,,-22.06775463
0,0.373070792,,,-12.93247345
1,2.472034337,,,-11.92739494
2,-6.604438278,,,-9.982604307
3,-22.06775463,,,-6.604438278
4,-0.836106425,,,-5.5414621
5,0.232346077,,,-0.836106425
6,-5.5414621,,,0.232346077
7,4.786267347,,,0.373070792
8,1.073276572,,,1.073276572
9,5.833227117,,,1.87791947
10,-11.92739494,,,2.472034337
11,12.28773278,,,2.899551651
12,7.736597857,,,4.786267347
13,7.652027518,,,5.833227117
14,-12.93247345,,,7.652027518
15,9.321976342,,,7.736597857
16,1.87791947,,,8.437526657
17,-9.982604307,,,9.321976342
18,2.899551651,,,12.28773278
19,8.437526657,,,
