Sub,Trial,img,type,RT,Reaction
1_zengjing,1,36,2,17395.428,0
1_zengjing,2,37,1,4203.936,0
1_zengjing,3,1,2,8376.027,1
1_zengjing,4,31,1,2943.952,0
1_zengjing,5,21,1,5579.647,0
1_zengjing,6,12,2,7117.266,0
1_zengjing,7,23,2,13609.764,1
1_zengjing,8,38,2,17427.689,1
1_zengjing,9,48,2,7977.159,1
1_zengjing,10,33,1,3317.605,0
1_zengjing,11,16,2,11787.894,0
1_zengjing,12,46,1,5303.243,0
1_zengjing,13,8,1,23978.765,1
1_zengjing,14,34,1,9621.98,1
1_zengjing,15,11,2,9870.306,0
1_zengjing,16,15,1,4048.506,0
1_zengjing,17,17,1,2545.426,0
1_zengjing,18,44,1,2376.419,0
1_zengjing,19,7,1,4194.451,0
1_zengjing,20,5,1,2216.461,0
1_zengjing,21,45,2,5717.7,1
1_zengjing,22,30,2,8968.076,1
1_zengjing,23,42,2,3665.908,1
1_zengjing,24,40,1,9085.557,0
1_zengjing,25,41,2,3734.863,0
1_zengjing,26,47,2,3249.756,1
1_zengjing,27,13,2,14872.581,0
1_zengjing,28,35,1,9498.974,0
1_zengjing,29,9,1,2635.808,0
1_zengjing,30,3,2,4415.941,1
1_zengjing,31,25,1,2386.135,0
1_zengjing,32,4,1,9722.299,0
1_zengjing,33,26,1,5790.93,0
9-gaojinzhe,1,45,1,4619.29,0
9-gaojinzhe,2,46,1,10487.569,1
9-gaojinzhe,3,42,1,3296.713,0
9-gaojinzhe,4,8,1,11218.054,1
9-gaojinzhe,5,5,1,17700.256,0
9-gaojinzhe,6,48,2,9192.803,1
9-gaojinzhe,7,36,2,37021.374,1
9-gaojinzhe,8,37,1,12306.256,0
9-gaojinzhe,9,15,1,7600.703,1
9-gaojinzhe,10,18,1,12019.346,0
9-gaojinzhe,11,35,1,7432.644,1
9-gaojinzhe,12,23,1,8325.811,1
9-gaojinzhe,13,44,1,7096.794,0
9-gaojinzhe,14,33,2,9510.112,1
9-gaojinzhe,15,34,1,18140.02,1
9-gaojinzhe,16,6,2,6008.154,0
9-gaojinzhe,17,3,2,17732.256,1
9-gaojinzhe,18,40,1,10810.743,1
9-gaojinzhe,19,29,2,9750.488,0
9-gaojinzhe,20,21,2,15972.488,1
9-gaojinzhe,21,11,1,8339.58,0
9-gaojinzhe,22,12,1,14952.766,1
9-gaojinzhe,23,1,2,10471.695,1
9-gaojinzhe,24,7,1,10696.263,1
9-gaojinzhe,25,39,2,8748.903,0
9-gaojinzhe,26,38,2,5770.632,1
9-gaojinzhe,27,28,1,13638.306,0
9-gaojinzhe,28,24,1,14251.549,1
9-gaojinzhe,29,19,2,10624.141,0
9-gaojinzhe,30,32,2,8745.262,0
9-gaojinzhe,31,14,1,4972.231,1
9-gaojinzhe,32,22,1,18443.672,1
9-gaojinzhe,33,31,1,20282.636,1
9-gaojinzhe,34,9,1,3791.009,0
9-gaojinzhe,35,30,1,8524.455,1
9-gaojinzhe,36,20,1,3832.76,1
9-gaojinzhe,37,17,2,15881.442,1
9-gaojinzhe,38,25,1,2472.892,0
9-gaojinzhe,39,41,2,3259.017,1
9-gaojinzhe,40,27,2,2506.827,0
9-gaojinzhe,41,47,1,6781.672,0
9-gaojinzhe,42,26,2,4224.277,0
9-gaojinzhe,43,16,1,5667.398,1
9-gaojinzhe,44,4,1,15919.602,1
9-gaojinzhe,45,43,2,5000.79,0
9-gaojinzhe,46,2,1,2963.414,0
9-gaojinzhe,47,13,2,6596.947,1
9-gaojinzhe,48,10,2,2586.426,0
11-xutiange,1,2,2,7063.599,0
11-xutiange,2,16,2,12589.263,0
11-xutiange,3,31,1,11488.841,1
11-xutiange,4,1,2,5363.615,1
11-xutiange,5,29,2,12612.982,1
11-xutiange,6,44,1,8802.444,0
11-xutiange,7,7,1,7021.8,1
11-xutiange,8,4,2,5619.8,0
11-xutiange,9,20,1,4713.459,1
11-xutiange,10,24,2,5156.463,0
11-xutiange,11,42,2,5782.14,0
11-xutiange,12,32,1,4665.08,0
11-xutiange,13,38,1,5202.163,0
11-xutiange,14,17,1,9436.476,0
11-xutiange,15,43,1,6389.077,0
11-xutiange,16,36,2,8562.13,1
11-xutiange,17,19,2,10111.433,1
11-xutiange,18,13,1,3733.647,0
11-xutiange,19,48,2,3931.756,0
11-xutiange,20,3,1,9806.986,0
11-xutiange,21,15,1,3782.022,0
11-xutiange,22,25,2,4540.978,1
11-xutiange,23,10,1,9520.683,1
11-xutiange,24,18,1,8518.914,1
11-xutiange,25,30,1,2616.454,0
11-xutiange,26,33,1,1928.828,0
11-xutiange,27,28,2,1882.299,0
11-xutiange,28,14,2,1392.424,0
11-xutiange,29,37,1,3183.905,0
11-xutiange,30,45,1,1056.274,0
11-xutiange,31,8,2,6102.069,0
11-xutiange,32,35,2,3094.712,1
11-xutiange,33,22,2,6099.66,0
11-xutiange,34,23,2,9973.234,1
11-xutiange,35,41,2,8001.394,1
11-xutiange,36,26,1,6042.68,1
11-xutiange,37,46,1,4556.957,0
11-xutiange,38,11,2,4735.398,0
11-xutiange,39,9,1,7846.388,1
