Sub,Trial,img,type,RT,Reaction
1-yaoqiuyun,1,32,1,7377.268,0
1-yaoqiuyun,2,40,2,3496.427,0
1-yaoqiuyun,3,22,1,3294.678,0
1-yaoqiuyun,4,34,1,11039.477,1
1-yaoqiuyun,5,35,2,7424.751,1
1-yaoqiuyun,6,6,1,5902.233,1
1-yaoqiuyun,7,3,2,7144.402,1
1-yaoqiuyun,8,16,1,6175.086,0
1-yaoqiuyun,9,11,2,9793.861,0
1-yaoqiuyun,10,30,2,19281.921,0
1-yaoqiuyun,11,45,2,14672.382,1
1-yaoqiuyun,12,33,2,15399.434,1
1-yaoqiuyun,13,7,2,17877.627,0
1-yaoqiuyun,14,38,2,12595.535,0
1-yaoqiuyun,15,42,2,6997.784,0
1-yaoqiuyun,16,28,1,13961.589,0
1-yaoqiuyun,17,17,2,22868.851,1
1-yaoqiuyun,18,41,2,7806.026,0
1-yaoqiuyun,19,47,1,16308.927,1
1-yaoqiuyun,20,14,2,5787.456,0
1-yaoqiuyun,21,46,1,8851.989,1
1-yaoqiuyun,22,8,1,5736.58,1
1-yaoqiuyun,23,5,1,5799.555,0
1-yaoqiuyun,24,48,2,14972.487,0
1-yaoqiuyun,25,29,1,12028.138,0
1-yaoqiuyun,26,21,1,9998.942,0
1-yaoqiuyun,27,25,1,18188.975,1
1-yaoqiuyun,28,37,2,21016.539,1
1-yaoqiuyun,29,31,1,5424.276,0
1-yaoqiuyun,30,27,1,5299.25,1
1-yaoqiuyun,31,26,2,2722.949,0
1-yaoqiuyun,32,43,2,14860.46,1
1-yaoqiuyun,33,19,2,7149.463,0
1-yaoqiuyun,34,44,1,6976.117,0
1-yaoqiuyun,35,15,2,7488.496,0
1-yaoqiuyun,36,1,2,12346.861,1
1-yaoqiuyun,37,36,1,12787.109,0
1-yaoqiuyun,38,23,1,5587.352,1
1-yaoqiuyun,39,2,1,22234.603,1
1-yaoqiuyun,40,4,1,28101.931,1
1-yaoqiuyun,41,18,2,6793.344,0
1-yaoqiuyun,42,24,1,8424.566,0
1-yaoqiuyun,43,39,1,7641.096,1
1-yaoqiuyun,44,13,2,10879.697,0
1-yaoqiuyun,45,9,2,6208.526,1
1-yaoqiuyun,46,20,1,7256.82,0
1-yaoqiuyun,47,10,1,6444.093,0
1-yaoqiuyun,48,12,1,4928.546,0
1-zhudanji,1,28,2,0.247,1
1-zhudanji,2,21,1,6203.241,0
1-zhudanji,3,20,2,6167.185,0
1-zhudanji,4,48,1,5516.455,1
1-zhudanji,5,41,2,9897.656,0
1-zhudanji,6,25,2,6419.993,1
1-zhudanji,7,44,2,9573.992,0
1-zhudanji,8,30,2,10670.085,0
1-zhudanji,9,34,2,12983.732,1
1-zhudanji,10,6,2,7744.507,0
1-zhudanji,11,42,1,15112.373,0
1-zhudanji,12,3,1,14437.091,0
1-zhudanji,13,7,2,11077.221,0
1-zhudanji,14,1,2,9308.481,0
1-zhudanji,15,36,2,14923.738,1
1-zhudanji,16,15,1,15977.082,0
1-zhudanji,17,32,2,9980.187,0
1-zhudanji,18,29,1,13262.335,1
1-zhudanji,19,5,1,10039.701,1
1-zhudanji,20,10,1,25500.193,1
1-zhudanji,21,18,1,19375.288,0
1-zhudanji,22,40,2,14645.907,0
1-zhudanji,23,27,1,12536.699,1
1-zhudanji,24,9,2,14513.901,0
1-zhudanji,25,33,2,22473.008,1
1-zhudanji,26,22,2,7816.077,0
1-zhudanji,27,46,1,7216.237,1
1-zhudanji,28,13,2,18619.367,0
1-zhudanji,29,19,2,10839.35,1
1-zhudanji,30,26,2,5576.58,0
1-zhudanji,31,12,2,9568.313,0
1-zhudanji,32,35,2,6518.064,0
1-zhudanji,33,8,1,26092.009,0
1-zhudanji,34,37,1,8320.254,1
1-zhudanji,35,38,2,18983.316,1
1-zhudanji,36,39,1,10184.051,1
1-zhudanji,37,17,1,6074.664,0
1-zhudanji,38,16,2,9226.321,0
1-zhudanji,39,23,2,6978.042,1
1-zhudanji,40,31,1,14090.525,1
1-zhudanji,41,2,2,11602.49,0
1-zhudanji,42,45,2,10464.377,0
1-zhudanji,43,11,2,11400.729,0
1-zhudanji,44,43,1,8385.248,1
1-zhudanji,45,14,2,5283.465,0
1-zhudanji,46,4,1,11859.791,0
1-zhudanji,47,24,2,15054.957,1
1-zhudanji,48,47,1,7799.924,0
2-hanjinjing,1,24,2,4521.812,0
2-hanjinjing,2,39,1,5467.294,0
2-hanjinjing,3,11,2,9485.054,0
2-hanjinjing,4,37,2,4882.998,1
2-hanjinjing,5,16,2,10189.782,1
2-hanjinjing,6,5,1,6593.495,0
2-hanjinjing,7,41,1,2109.118,0
2-hanjinjing,8,7,1,3841.841,0
2-hanjinjing,9,1,2,14862.596,0
2-hanjinjing,10,35,1,3066.368,1
2-hanjinjing,11,10,1,3246.127,0
2-hanjinjing,12,13,2,2145.915,0
2-hanjinjing,13,44,1,6366.058,0
2-hanjinjing,14,9,1,1306.869,1
2-hanjinjing,15,21,2,10167.361,0
2-hanjinjing,16,29,2,6166.533,0
2-hanjinjing,17,17,1,8716.945,1
2-hanjinjing,18,46,2,7133.789,0
2-hanjinjing,19,27,2,1121.453,1
2-hanjinjing,20,36,1,6480.89,0
2-hanjinjing,21,32,1,2586.38,0
2-hanjinjing,22,14,2,6891.717,1
2-hanjinjing,23,20,2,1184.456,1
2-hanjinjing,24,30,1,7947.22,0
2-hanjinjing,25,2,2,2358.224,0
2-hanjinjing,26,19,2,6441.776,1
2-hanjinjing,27,45,1,2973.093,0
2-hanjinjing,28,40,1,3896.882,0
2-hanjinjing,29,28,2,2109.362,1
2-hanjinjing,30,23,2,5977.446,0
2-hanjinjing,31,15,1,11069.813,1
2-hanjinjing,32,12,2,2653.881,1
2-hanjinjing,33,42,1,6783.741,0
2-hanjinjing,34,18,1,5315.335,0
2-hanjinjing,35,47,1,1565.39,0
2-hanjinjing,36,26,2,2760.975,1
2-hanjinjing,37,34,2,2863.828,0
2-hanjinjing,38,43,2,1994.932,0
2-hanjinjing,39,22,1,2668.551,1
2-hanjinjing,40,3,2,2873.502,0
2-hanjinjing,41,6,1,1125.193,0
2-hanjinjing,42,8,2,1274.802,0
2-hanjinjing,43,4,1,5810.194,0
2-hanjinjing,44,33,2,8832.01,1
2-hanjinjing,45,38,1,3538.419,1
2-hanjinjing,46,31,2,9289.483,1
2-hanjinjing,47,48,1,1002.25,1
2-hanjinjing,48,25,1,2098.027,1
2-huangying,1,34,2,2251.864,0
2-huangying,2,27,1,1330.037,1
2-huangying,3,26,2,1579.459,1
2-huangying,4,47,1,1734.407,0
2-huangying,5,31,2,1459.766,0
2-huangying,6,3,1,1123.757,1
2-huangying,7,4,2,1200.827,0
2-huangying,8,36,2,1098.251,0
2-huangying,9,40,2,1120.611,1
2-huangying,10,12,2,1240.328,1
2-huangying,11,48,2,1641.784,0
2-huangying,12,9,2,1751.246,1
2-huangying,13,13,1,1287.42,0
2-huangying,14,7,1,1297.693,0
2-huangying,15,5,2,908.411,0
2-huangying,16,42,2,1497.147,0
2-huangying,17,21,2,1497.441,1
2-huangying,18,38,1,992.86,1
2-huangying,19,35,2,930.93,1
2-huangying,20,11,1,1669.089,0
2-huangying,21,16,1,1845.304,0
2-huangying,22,24,1,2128.789,1
2-huangying,23,46,1,2953.455,1
2-huangying,24,33,2,2287.959,0
2-huangying,25,15,1,2015.339,1
2-huangying,26,39,2,1427.517,0
2-huangying,27,28,2,3169.005,0
2-huangying,28,2,2,3192.557,1
2-huangying,29,19,1,6136.818,1
2-huangying,30,25,2,3199.213,0
2-huangying,31,32,2,3335.58,0
2-huangying,32,18,2,2674.412,1
2-huangying,33,41,2,1415.297,0
2-huangying,34,14,2,5328.619,1
2-huangying,35,43,1,5992.52,0
2-huangying,36,44,1,2790.356,1
2-huangying,37,45,2,2673.246,1
2-huangying,38,23,1,1516.225,1
2-huangying,39,22,1,1944.104,0
2-huangying,40,29,2,1795.708,1
2-huangying,41,37,2,1529.951,0
2-huangying,42,8,1,2129.977,1
2-huangying,43,17,2,1678.175,1
