sub,img,information_content
0,10005,35.1665233144407
0,10018,42.2555086281443
0,10042,35.7724940328812
0,10077,38.1766856595835
0,10157,35.769512780693
0,10168,29.1915179935665
0,10183,46.2203808745249
0,10369,31.9580700857388
0,10407,43.4040486416251
0,10447,52.7199524537265
0,10587,51.4706105222091
0,10619,30.7543969017139
0,10632,30.7729761239507
0,10653,41.4227441880408
0,10660,37.0591508036124
0,10702,44.7831784846618
0,10732,36.9003027985328
0,10750,43.550784878853
0,10842,35.7129586458953
0,10864,28.0277972346039
1,10005,38.3957101745935
1,10018,48.7620011774298
1,10042,42.5332472860361
1,10077,34.4624305264152
1,10157,36.2453490278327
1,10168,31.6990205162551
1,10183,41.1639858134161
1,10369,34.4522832832821
1,10407,49.671483324305
1,10447,48.0096215624553
1,10587,50.347847787399
1,10619,31.8029761406706
1,10632,31.380373005985
1,10653,37.9945615954475
1,10660,35.1382261792309
1,10702,35.3604616310426
1,10732,36.8628097414338
1,10750,40.5126277527771
1,10842,37.9803594215724
1,10864,27.0571740786835
2,10005,44.2711016594102
2,10018,45.7488729584911
2,10042,46.5899154486985
2,10077,34.0225703180192
2,10157,38.1006793901232
2,10168,33.6448319632891
2,10183,40.66287822071
2,10369,31.3220052373224
2,10407,52.2174032879327
2,10447,54.2969189881036
2,10587,55.0604466416897
2,10619,31.2595345166146
2,10632,30.8522582645315
2,10653,34.7216894088836
2,10660,35.3093888119231
2,10702,35.5895934115385
2,10732,35.4884997977885
2,10750,39.6840235053346
2,10842,39.7447709397904
2,10864,29.924163925927
3,10005,37.0123964225482
3,10018,53.5493695213018
3,10042,40.5211522430109
3,10077,35.4617512817857
3,10157,35.0561176096991
3,10168,36.8269839945017
3,10183,38.4638011841283
3,10369,32.670725007448
3,10407,50.034042442234
3,10447,66.013565881521
3,10587,61.5264576486032
3,10619,34.5841292615542
3,10632,31.249862174851
3,10653,25.5139438898824
3,10660,36.3742157443999
3,10702,36.8503735775204
3,10732,31.4682360134005
3,10750,29.4347729279142
3,10842,40.8810620900023
3,10864,32.0949246264238
4,10005,36.7485595611925
4,10018,47.0468610102034
4,10042,40.1120789146833
4,10077,35.5213757461718
4,10157,36.3716037879846
4,10168,41.1650180226834
4,10183,38.1725868874428
4,10369,32.4480653183625
4,10407,48.1947595748382
4,10447,63.7122125996486
4,10587,69.4313549292203
4,10619,41.0606964629299
4,10632,32.8283050126532
4,10653,28.9825862982864
4,10660,39.5929636581989
4,10702,39.5318911826682
4,10732,32.5103205464077
4,10750,30.622233935969
4,10842,39.7066165488293
4,10864,37.7820604457805
5,10005,35.2466350574916
5,10018,45.0627472728159
5,10042,45.609611424987
5,10077,35.1912345416412
5,10157,33.8018866320872
5,10168,44.9506391087934
5,10183,39.3072867086707
5,10369,35.9974328245769
5,10407,52.7715349443471
5,10447,66.9543186658817
5,10587,76.8784841845381
5,10619,44.4744525743483
5,10632,32.4872782820125
5,10653,32.1821417889502
5,10660,39.4497345479221
5,10702,40.2262895355438
5,10732,37.2671117005505
5,10750,28.0099946863537
5,10842,42.6999005546817
5,10864,34.5090703541933
6,10005,37.9299709469358
6,10018,45.6659629433866
6,10042,42.8574486725945
6,10077,37.7248540976065
6,10157,33.8863559247554
6,10168,45.4261631900234
6,10183,40.3351214148701
6,10369,31.196051770656
6,10407,52.9057075468116
6,10447,55.2077876208748
6,10587,66.7580503757255
6,10619,42.2461443989952
6,10632,30.8124982860248
6,10653,37.0734214185693
6,10660,35.1121872524458
6,10702,45.6078693149493
6,10732,42.8484122221131
6,10750,36.9253096090502
6,10842,39.0026183100574
6,10864,34.3948674303989
7,10005,42.3987566392727
7,10018,43.2358923111044
7,10042,40.8143539759885
7,10077,29.435959203819
7,10157,34.714494976394
7,10168,49.0910520825887
7,10183,47.3946568515631
