sub,img,information_content
0,10005,42.466629860365224
0,10018,42.050903244077276
0,10042,36.61543610972934
0,10077,43.018748412025786
0,10157,35.022647394413916
0,10168,24.452558033436013
0,10183,43.1965835588463
0,10369,30.441355487149604
0,10407,40.41856147111017
0,10447,76.53491911066914
0,10587,75.01352485093865
0,10619,27.55111146635991
0,10632,29.254377814995795
0,10653,44.049693432493555
0,10660,36.20672456298736
0,10702,57.192386467797455
0,10732,34.6171371200764
0,10750,44.030184139440735
0,10842,34.36006130400985
0,10864,29.371077080582353
1,10005,43.57509474968966
1,10018,43.56737986693273
1,10042,38.52935389549849
1,10077,34.33707346379924
1,10157,36.143783090512386
1,10168,27.105970128732004
1,10183,37.49987733975217
1,10369,32.19847918255903
1,10407,49.566311741041055
1,10447,43.013217804302116
1,10587,61.41789571067759
1,10619,33.722117671211834
1,10632,30.73657047478581
1,10653,41.86023915615741
1,10660,34.63260332776834
1,10702,41.626516219479086
1,10732,36.16571122751429
1,10750,40.90943680603772
1,10842,37.19462333551753
1,10864,29.21663768429942
2,10005,34.9578804059315
2,10018,45.90461912668418
2,10042,48.345068060630766
2,10077,34.215270133465566
2,10157,38.69401383484688
2,10168,34.296166580523725
2,10183,40.0882261348832
2,10369,31.484330780655363
2,10407,68.23480195317492
2,10447,51.53167443733493
2,10587,51.55646481566807
2,10619,31.839051994994954
2,10632,31.340324915628358
2,10653,31.353023423761954
2,10660,34.508749735650284
2,10702,47.59812218554975
2,10732,28.744119074498585
2,10750,38.730533800960266
2,10842,39.12021632007711
2,10864,31.98841871131054
3,10005,43.28829061357709
3,10018,50.28381900908159
3,10042,50.30415126047247
3,10077,37.89037037087397
3,10157,33.80009923349105
3,10168,36.48948682182675
3,10183,37.73125596730531
3,10369,35.01790261881522
3,10407,42.41600643398928
3,10447,61.27123449503814
3,10587,64.85836532899201
3,10619,40.80161711721229
3,10632,30.81397503780255
3,10653,24.26819679282318
3,10660,36.33145902841065
3,10702,50.99748053169097
3,10732,25.85940146563082
3,10750,33.13220910344906
3,10842,40.211002777135974
3,10864,30.792687136648606
4,10005,39.39256338831372
4,10018,46.56512289177049
4,10042,47.52655983088087
4,10077,36.92714378706592
4,10157,35.37162921348614
4,10168,26.256686719078875
4,10183,40.61822987719293
4,10369,35.53198083532951
4,10407,62.29101599488823
4,10447,68.79469886867197
4,10587,66.82885714475195
4,10619,51.34465378149554
4,10632,33.13373694709006
4,10653,27.925617394890832
4,10660,39.062396548160166
4,10702,26.32050992304895
4,10732,32.62824674869639
4,10750,30.884023596166937
4,10842,41.44928508897451
4,10864,38.42519274563352
5,10005,39.59283080152691
5,10018,43.63033631598383
5,10042,42.67554170527457
5,10077,32.83580024790304
5,10157,34.00793696132167
5,10168,62.406231328473154
5,10183,43.242874756484234
5,10369,38.74030727800797
5,10407,69.28972658292207
5,10447,104.50152465970525
5,10587,73.1469483198633
5,10619,57.063748145458106
5,10632,32.43786863207341
5,10653,32.61473125691915
5,10660,38.268755096939984
5,10702,40.4215559448385
5,10732,34.85164511737116
5,10750,23.988807722661196
5,10842,40.517044554091946
5,10864,32.948638212169804
6,10005,33.45299443329858
6,10018,43.551528533282834
6,10042,55.73623845324288
6,10077,39.40369031717159
6,10157,33.31910037921205
6,10168,45.284442357254925
6,10183,48.695130097270535
6,10369,30.42117447266541
6,10407,55.88755742531928
6,10447,32.23484923198286
6,10587,103.16586339225518
6,10619,43.06913608387144
6,10632,30.48421033369121
6,10653,45.717865898425316
6,10660,35.071289810589626
6,10702,43.7789084679594
6,10732,51.788641468601426
6,10750,35.16428913585016
6,10842,40.288167022010796
6,10864,31.720656073362925
7,10005,42.37967869173553
7,10018,43.10094119416016
7,10042,39.93202023004706
7,10077,27.708433924990505
7,10157,35.624343174547136
7,10168,44.06375585306278
7,10183,41.08398927238618
7,10369,31.195456271732706
7,10407,34.19654293665878
7,10447,33.221407198411605
7,10587,83.07720822938515
7,10619,50.47475868274428
7,10632,32.61259416441718
7,10653,60.93271247620683
7,10660,43.5135041810286
7,10702,56.2186732251317
7,10732,31.273892933305767
7,10750,37.74867592993767
7,10842,37.40323076920954
7,10864,33.962901099760664
8,10005,31.641829605486933
8,10018,41.95209856063375
8,10042,39.78605725865307
8,10077,31.81603767431712
8,10157,35.99329267076719
8,10168,30.513173367869044
8,10183,41.19840707728875
8,10369,30.087620744269742
8,10407,107.04360549949004
8,10447,61.74287772111365
8,10587,60.97249034571177
8,10619,29.669954489297737
8,10632,33.38464679484302
8,10653,34.46269842043231
8,10660,35.86604654843168
8,10702,63.589483009286695
8,10732,43.31700085285582
8,10750,36.04963297623201
8,10842,37.473190222676415
8,10864,27.41855778295332
9,10005,39.13743244052594
9,10018,43.486094761771895
9,10042,68.37107782211882
9,10077,28.979916431211578
9,10157,37.4089236131449
9,10168,43.7849482952892
9,10183,30.398318206790112
9,10369,32.32521842756798
9,10407,57.91793549802673
9,10447,61.650675006887624
9,10587,62.28795437165613
9,10619,64.61422323708193
9,10632,30.454344395817362
9,10653,33.0523964381947
9,10660,34.0168374312813
9,10702,104.6248773390068
9,10732,42.19032520226709
9,10750,26.902165141894493
9,10842,35.79025639079331
9,10864,23.379217122941014
10,10005,32.850049511199856
10,10018,42.2973050241283
10,10042,43.93250514290758
10,10077,33.863494046118284
10,10157,33.76940284585149
10,10168,45.23697621068786
10,10183,30.82925882084903
10,10369,30.24532567173417
10,10407,46.046932784159154
10,10447,29.544930748249413
10,10587,43.37490362339252
10,10619,51.485245270720114
10,10632,31.042416457172166
10,10653,44.10958767793322
10,10660,32.51497786021975
10,10702,74.1426015372597
10,10732,25.27753098817373
10,10750,32.380270625790764
10,10842,36.67549323087345
10,10864,24.766830383608717
11,10005,38.81751306789672
11,10018,43.27181255601314
11,10042,50.73509222360991
11,10077,31.230358305107924
11,10157,34.44698092598692
11,10168,49.040357835650305
11,10183,30.684711857114223
11,10369,27.319519521323475
11,10407,62.63020857800706
11,10447,34.10128298508472
11,10587,63.04275107868231
11,10619,82.70460926703626
11,10632,29.811987211077135
11,10653,30.417804380756767
11,10660,33.579481998194474
11,10702,33.344888548297675
11,10732,27.25768553106681
11,10750,29.050301549617853
11,10842,37.907537765449476
11,10864,25.48827259942125
12,10005,38.40257758923567
12,10018,43.509593607385334
12,10042,40.55149136720871
12,10077,34.68813093269244
12,10157,32.59852277223457
12,10168,29.740885950391075
12,10183,35.335628681543874
12,10369,27.33014307257456
12,10407,51.48077129250238
12,10447,29.51439163048173
12,10587,49.1562301292857
12,10619,34.35470309073443
12,10632,30.286454734354432
12,10653,46.255853060792475
12,10660,33.19759345626362
12,10702,34.315900845557614
12,10732,28.846818047947682
12,10750,38.83986942022202
12,10842,48.636391367043
12,10864,28.55121934792523
13,10005,32.750154366445194
13,10018,41.35719497935582
13,10042,37.28737336419178
13,10077,33.46608008264268
13,10157,33.961439070423644
13,10168,28.46389896834293
13,10183,38.02151670601521
13,10369,30.189378492166423
13,10407,71.20181777290796
13,10447,36.42307130610633
13,10587,53.61526897456416
13,10619,70.15689463027597
13,10632,31.931916524364357
13,10653,40.31913731683253
13,10660,33.0916054794416
13,10702,84.15583014485092
13,10732,33.03369104672571
13,10750,32.99956542062241
13,10842,43.93499377692345
13,10864,36.79344115924599
14,10005,43.007357999833275
14,10018,43.4899911750752
14,10042,47.19133322121657
14,10077,30.421339306251873
14,10157,34.59323024364856
14,10168,51.045472155593366
14,10183,32.39621113193353
14,10369,30.263608008754133
14,10407,56.50098385063622
14,10447,30.888759686186738
14,10587,43.275948377079345
14,10619,65.78847597175499
14,10632,31.67793834921785
14,10653,37.48815213839549
14,10660,32.77938486048894
14,10702,90.84518078147512
14,10732,90.13529885710695
14,10750,30.324377628504045
14,10842,39.21702355387308
14,10864,34.7062534007966
15,10005,24.962016141143728
15,10018,42.83541380164048
15,10042,40.78719485844575
15,10077,33.53132198594833
15,10157,33.76440315593924
15,10168,82.58294914154435
15,10183,33.568938413037934
15,10369,31.61754626102753
15,10407,30.614239434832797
15,10447,30.855394460892654
15,10587,39.05230004677148
15,10619,86.65768963160608
15,10632,29.657723441080616
15,10653,31.986677385625505
15,10660,34.505127235372235
15,10702,48.97225926237856
15,10732,50.24396775724213
15,10750,27.9139980924058
15,10842,38.385727386569464
15,10864,28.437625922592066
16,10005,24.670625114417767
16,10018,41.33041809727709
16,10042,37.6246817250499
16,10077,31.170030661832804
16,10157,32.76653581614342
16,10168,28.657386914623252
16,10183,37.93324497316035
16,10369,30.574665761508864
16,10407,57.71671092947086
16,10447,28.884178300481718
16,10587,52.881355019645596
16,10619,55.81342230417471
16,10632,30.27233307483064
16,10653,27.449872878621125
16,10660,34.14046268602634
16,10702,70.61626000624659
16,10732,52.02669731305833
16,10750,32.00048311249969
16,10842,39.188737412395454
16,10864,29.572707767946188
