sub,img,information_content
0,10005,37.14470151031001
0,10018,41.571628450456934
0,10042,36.494100065147954
0,10077,40.34026478664069
0,10157,36.38994009940587
0,10168,24.297409823328625
0,10183,43.89213336856622
0,10369,34.92680067511633
0,10407,45.41587771054096
0,10447,45.779269592971964
0,10587,32.89954938644599
0,10619,29.353758832365607
0,10632,32.9653067832033
0,10653,49.56708250970931
0,10660,38.70423982091085
0,10702,51.771237599102676
0,10732,39.441404568177106
0,10750,42.85782506027381
0,10842,37.22197869740884
0,10864,27.149076593041322
1,10005,39.32992714029028
1,10018,48.09393416441514
1,10042,52.65714925472335
1,10077,35.65087543212085
1,10157,35.880473773230314
1,10168,31.10589988311217
1,10183,43.964874791839236
1,10369,38.194304096316245
1,10407,57.525976443895736
1,10447,58.43623067080369
1,10587,52.74820480741113
1,10619,31.43605762245968
1,10632,33.156543701736524
1,10653,36.828013655964824
1,10660,35.790261958616775
1,10702,25.86722202625258
1,10732,41.5080492442989
1,10750,28.91920495609007
1,10842,36.254539524917455
1,10864,27.0297443059506
2,10005,45.66498364015419
2,10018,43.674444942757525
2,10042,56.97029717969931
2,10077,34.57878592106979
2,10157,38.95287348470456
2,10168,31.97148388985116
2,10183,40.219328120248264
2,10369,31.96414662040989
2,10407,30.844110332086874
2,10447,49.40891065097488
2,10587,34.556535120866066
2,10619,31.343357123725383
2,10632,30.701715118081733
2,10653,34.86522261268066
2,10660,35.25058724388561
2,10702,42.36894353132834
2,10732,40.502858710832804
2,10750,41.27763341857317
2,10842,39.81912960396696
2,10864,28.958571855136935
3,10005,41.71148452407706
3,10018,51.47247024515361
3,10042,26.414074563835644
3,10077,37.07829088220772
3,10157,35.40704002583035
3,10168,35.89073046857631
3,10183,40.07139437147694
3,10369,31.085977172497262
3,10407,53.186217564762984
3,10447,66.59157024749118
3,10587,33.211927044239665
3,10619,38.56414437936934
3,10632,31.011650316434167
3,10653,22.66992078185303
3,10660,36.35384293281026
3,10702,39.64426926337911
3,10732,31.77220691565958
3,10750,31.98221228950434
3,10842,40.893147024502646
3,10864,28.04769586516512
4,10005,37.63344390121203
4,10018,47.27508354432796
4,10042,37.98327950891571
4,10077,36.806714935749106
4,10157,37.25301496692497
4,10168,41.647835026502435
4,10183,38.575536547145326
4,10369,31.91347654914819
4,10407,57.52739718249832
4,10447,65.15623701121459
4,10587,35.67303995374117
4,10619,49.51333784894073
4,10632,31.231819442188396
4,10653,28.581600293539577
4,10660,40.56116848557397
4,10702,35.86145928880445
4,10732,27.649079535469934
4,10750,34.60802169279657
4,10842,39.10880236613168
4,10864,41.79835796877907
5,10005,32.05065728904789
5,10018,46.72031841172657
5,10042,48.022378190394186
5,10077,35.36301259218686
5,10157,33.26190917249309
5,10168,53.664320227747034
5,10183,40.59812440287567
5,10369,40.588202762852085
5,10407,55.06618938765463
5,10447,58.52838217529159
5,10587,80.58618936248246
5,10619,45.92648112548596
5,10632,31.64628181200811
5,10653,32.66540611429075
5,10660,40.71989238643001
5,10702,41.23855079043216
5,10732,39.34909428299271
5,10750,23.387096754229056
5,10842,41.9390567974279
5,10864,29.374633483517467
6,10005,37.48315151622521
6,10018,43.52702255049963
6,10042,40.87216387470288
6,10077,37.326793850490525
6,10157,33.09820298059301
6,10168,47.87287510305506
6,10183,40.98713161712066
6,10369,31.721564766068806
6,10407,65.50125784348242
6,10447,57.751375828488214
6,10587,33.275850201679376
6,10619,26.74389011005368
6,10632,32.02972024706712
6,10653,35.950472814050194
6,10660,34.9373229755185
6,10702,53.08421898100456
6,10732,48.47079842000303
6,10750,33.615417058992215
6,10842,40.00707289921722
6,10864,37.586544212981906
7,10005,43.59045650016601
7,10018,42.39703799737527
7,10042,48.69889900507551
7,10077,30.498396089384524
7,10157,34.78959289709165
7,10168,59.46799763207114
7,10183,46.4130182459977
7,10369,30.761811055988886
7,10407,68.42488879351812
7,10447,56.12297596957189
7,10587,77.95452857001088
7,10619,64.71434682411763
7,10632,31.133354834188907
7,10653,48.58823155184511
7,10660,36.97806646893996
7,10702,57.25073945314781
7,10732,43.58412995637927
7,10750,42.93745813178605
7,10842,37.637932204428445
7,10864,32.79154478964704
8,10005,34.23457327493202
8,10018,43.05430573814959
8,10042,46.28361248067186
8,10077,34.397155312096324
8,10157,34.60701290239151
8,10168,49.86884540188222
8,10183,46.00452590054982
8,10369,31.23231346197339
8,10407,89.69333681176867
8,10447,33.844527955873325
8,10587,28.593743692078785
8,10619,47.73213386914615
8,10632,32.78373933855706
8,10653,35.60328354013484
8,10660,36.53950970033236
8,10702,82.25549593901015
8,10732,40.09808295018
8,10750,37.64512197583452
8,10842,35.955497542613706
8,10864,29.236744119136702
9,10005,25.974920208931543
9,10018,42.68872063782663
9,10042,49.993127690077856
9,10077,30.083020937249753
9,10157,36.70462916913611
9,10168,41.5893212299212
9,10183,47.69589367411418
9,10369,29.814049418985324
9,10407,61.65154739234922
9,10447,65.56336800300771
9,10587,53.55067785661843
9,10619,60.808684457337975
9,10632,30.5222365030906
9,10653,30.608139674311264
9,10660,34.53446706255662
9,10702,85.59785834683477
9,10732,34.38502283137534
9,10750,25.728240713861886
9,10842,37.85119108863622
9,10864,23.24702247621603
10,10005,33.77000539262843
10,10018,42.89209049821029
10,10042,47.31950750433226
10,10077,31.210937936880793
10,10157,33.25054149786892
10,10168,55.18835032848551
10,10183,33.05634138293955
10,10369,28.364708017988708
10,10407,54.63053766324075
10,10447,43.72851764021871
10,10587,47.06488213272546
10,10619,46.48506907113093
10,10632,29.924859678187563
10,10653,37.44250565645697
10,10660,32.45550555432364
10,10702,73.09040125869548
10,10732,24.95329392832882
10,10750,33.48709658797719
10,10842,36.695874630839164
10,10864,26.441284352700624
11,10005,31.815960361920357
11,10018,47.184208749172896
11,10042,26.109561774258022
11,10077,33.81703440535246
11,10157,33.02370437716249
11,10168,49.28427024514495
11,10183,30.902488086194783
11,10369,27.40301057610568
11,10407,40.951291999669806
11,10447,28.76686903990378
11,10587,40.208616164940395
11,10619,63.668724962941816
11,10632,31.392424896485856
11,10653,33.191463792750646
11,10660,33.23871383478509
11,10702,33.153183560149145
11,10732,30.695851395234758
11,10750,31.61947998471793
11,10842,38.09302595860866
11,10864,24.782619358182355
12,10005,31.674080771146556
12,10018,41.846810458350326
12,10042,44.848833503769576
12,10077,32.88559498034125
12,10157,32.60691347452174
12,10168,51.25807753371171
12,10183,31.61267380775462
12,10369,27.67676823679495
12,10407,41.35927526117657
12,10447,33.98164310275108
12,10587,39.594738782593815
12,10619,34.05617404476908
12,10632,31.891448208210623
12,10653,41.355012344782935
12,10660,32.59048046057266
12,10702,33.779069261319954
12,10732,32.91817074997446
12,10750,31.39618899856175
12,10842,44.55949054334747
12,10864,31.749424324242536
13,10005,34.10922472783655
13,10018,43.80653263363295
13,10042,39.984098802280634
13,10077,29.627283864646444
13,10157,33.65606008290175
13,10168,52.62745924885443
13,10183,30.777804681914688
13,10369,29.70882095160208
13,10407,46.150291940428886
13,10447,26.279850987914262
13,10587,36.73627457979704
13,10619,93.63024226931259
13,10632,32.16759675445111
13,10653,37.5586822618674
13,10660,33.56681401431142
13,10702,78.84985544612547
13,10732,28.463741314957694
13,10750,31.212113132599356
13,10842,48.023179499130684
13,10864,35.6580703645709
14,10005,38.70034388173282
14,10018,42.719632169506305
14,10042,53.99497708200407
14,10077,33.754804426484114
14,10157,33.040512025211164
14,10168,66.11281968934844
14,10183,37.14200169778339
14,10369,30.42059192327014
14,10407,74.1043639369308
14,10447,28.32052202319499
14,10587,44.71179278497199
14,10619,34.63596103415633
14,10632,29.850249092870488
14,10653,36.70406613398553
14,10660,32.8382943066324
14,10702,53.07742188700437
14,10732,61.83887236445578
14,10750,33.74240432955454
14,10842,37.75151138406489
14,10864,28.377321038853257
15,10005,26.092284351613955
15,10018,42.702657664014126
15,10042,41.682687346778074
15,10077,30.33666690242067
15,10157,33.5551565520857
15,10168,51.620331558803834
15,10183,48.14604093465703
15,10369,29.358728516079193
15,10407,29.58364098260592
15,10447,25.704058661809547
15,10587,51.72481673061648
15,10619,57.94195180176144
15,10632,28.67761575840065
15,10653,31.12661049127913
15,10660,35.289170289459676
15,10702,29.879377772475628
15,10732,71.6708513675764
15,10750,28.895221337946502
15,10842,41.49208605823818
15,10864,29.782183382210025
16,10005,24.441258906748484
16,10018,41.10818742882378
16,10042,45.985630502372146
16,10077,30.67324117247882
16,10157,33.0984836653118
16,10168,45.49188747822454
16,10183,36.68987177350976
16,10369,28.84387103354939
16,10407,68.10261098670163
16,10447,31.765467291762004
16,10587,34.53706190311606
16,10619,31.42890934192714
16,10632,31.436031533975594
16,10653,27.610202400767545
16,10660,32.74084971995764
16,10702,47.940597896948546
16,10732,29.279062069243015
16,10750,29.348476576956845
16,10842,37.554786179853586
16,10864,30.688216690718818
