sub,img,information_content
0,10005,29.420628809303903
0,10018,42.2552121175659
0,10042,35.33692201732082
0,10077,36.70626694176911
0,10157,34.90551380097043
0,10168,31.16251100547022
0,10183,38.70861407995601
0,10369,34.60939579359713
0,10407,32.465729859036514
0,10447,53.803571623428574
0,10587,52.000027444295135
0,10619,31.4350279720338
0,10632,29.289810555627657
0,10653,42.937091399707086
0,10660,38.096283634377684
0,10702,45.80806505252958
0,10732,36.48851622532746
0,10750,45.34122517969554
0,10842,33.632098567523904
0,10864,27.53159370400341
1,10005,33.79129808212941
1,10018,42.323310478871406
1,10042,35.17511596914086
1,10077,37.70184625733252
1,10157,36.56108055932759
1,10168,29.73304778096344
1,10183,47.91979893193253
1,10369,33.674513322755566
1,10407,43.960574649077856
1,10447,56.29093580552936
1,10587,57.139391253133425
1,10619,35.1754531758135
1,10632,31.004709784889364
1,10653,37.80137293284283
1,10660,37.60315017523955
1,10702,62.752048036575566
1,10732,33.912583599938145
1,10750,30.441934155560734
1,10842,37.125696782131435
1,10864,27.276966635168005
2,10005,33.191779166285514
2,10018,47.54913577718867
2,10042,35.198175810944974
2,10077,37.95709085039171
2,10157,35.418854867113474
2,10168,33.816814625424854
2,10183,50.41772300125195
2,10369,39.15344841436127
2,10407,43.229580451587076
2,10447,54.046886990474704
2,10587,57.39124689086628
2,10619,36.19480588311289
2,10632,32.88094041780039
2,10653,32.17850208971155
2,10660,38.06301404803874
2,10702,70.66264137280125
2,10732,42.58917657353139
2,10750,38.08964467473429
2,10842,38.1725294187913
2,10864,26.086973706586914
3,10005,35.24727463236626
3,10018,46.10319767832342
3,10042,33.87505565888021
3,10077,38.42982880778541
3,10157,34.81212572120422
3,10168,29.028485670829532
3,10183,42.35836627608198
3,10369,40.52157262289423
3,10407,47.16553837633012
3,10447,31.38620101483684
3,10587,54.05249723757373
3,10619,32.17728796344558
3,10632,35.42469341610202
3,10653,36.439832079486294
3,10660,36.5808268378994
3,10702,57.347373114122085
3,10732,38.01963103163628
3,10750,32.82081565558007
3,10842,39.60660932603509
3,10864,30.197003021372755
4,10005,31.211343512536235
4,10018,47.26420053937529
4,10042,45.20044811139669
4,10077,36.98878954898185
4,10157,37.25269585432194
4,10168,38.41033674405078
4,10183,39.42901258410816
4,10369,52.321832934686235
4,10407,40.90037780519722
4,10447,55.65145141708252
4,10587,26.443001131364536
4,10619,32.09890158332786
4,10632,34.18707740028815
4,10653,44.050134549646806
4,10660,35.226517165725205
4,10702,53.87302302513218
4,10732,32.0782839964867
4,10750,33.34020070760698
4,10842,38.94998446449008
4,10864,36.948828769908104
5,10005,33.35128435923814
5,10018,45.078588430340474
5,10042,50.6288007012791
5,10077,32.576873834622184
5,10157,35.903763812446336
5,10168,35.97695860703654
5,10183,41.15582838368429
5,10369,50.28750353811647
5,10407,54.57558419059463
5,10447,55.681477884435374
5,10587,28.319753815818192
5,10619,41.950455231056004
5,10632,38.49425520418163
5,10653,52.761684422794715
5,10660,40.7964807718356
5,10702,60.55215574625738
5,10732,54.166929947655845
5,10750,30.624112075101213
5,10842,37.40699819406312
5,10864,37.83552597768827
6,10005,32.46483879459129
6,10018,45.70438005387121
6,10042,31.711733383836457
6,10077,35.329401159817905
6,10157,37.12580429853135
6,10168,35.197214698693465
6,10183,38.78830568281865
6,10369,73.71889075228286
6,10407,31.745113538815115
6,10447,75.36689490536341
6,10587,28.244027203820796
6,10619,57.39969999312578
6,10632,49.805627880237225
6,10653,68.32007635642438
6,10660,45.32048341420199
6,10702,64.80307139340827
6,10732,39.68185988606298
6,10750,27.947818862728255
6,10842,39.64551210202589
6,10864,48.45552366302786
7,10005,31.454174147685926
7,10018,42.9229926364311
7,10042,62.307613840100686
7,10077,36.58699261188449
7,10157,37.6662821355278
7,10168,29.405919366776544
7,10183,43.210870777923766
7,10369,80.39915164528367
7,10407,60.614925876100315
7,10447,77.43696577859878
7,10587,26.97627201276501
7,10619,48.473111709475155
7,10632,51.366794880878345
7,10653,31.304850022245414
7,10660,47.10213208711399
7,10702,73.24756768969412
7,10732,25.47503663752355
7,10750,26.99392180161755
7,10842,36.757965468377044
7,10864,38.716866351886736
8,10005,30.741089208156367
8,10018,40.88014016043554
8,10042,67.23333900485775
8,10077,34.638224630310596
8,10157,32.951540316227074
8,10168,28.823857625489595
8,10183,41.28231805832024
8,10369,72.41550982727486
8,10407,29.120045034186063
8,10447,60.85523860906124
8,10587,32.19626747706173
8,10619,30.89274318185982
8,10632,39.85394934693509
8,10653,30.12958895226724
8,10660,40.057478465382346
8,10702,32.29853881265622
8,10732,30.05031019828618
8,10750,26.157078400029427
