Sub	Trial	img	type	RT	Reaction
8	1.000000	31.000000	1.000000	6474.366	0.000000
8	2.000000	49.000000	2.000000	2567.336	0.000000
8	3.000000	51.000000	2.000000	2548.212	0.000000
8	4.000000	171.000000	1.000000	5463.216	1.000000
8	5.000000	41.000000	1.000000	3029.068	0.000000
8	6.000000	130.000000	1.000000	1148.901	0.000000
8	7.000000	14.000000	2.000000	3653.711	0.000000
8	8.000000	200.000000	1.000000	1466.845	1.000000
8	9.000000	37.000000	1.000000	1209.741	0.000000
8	10.000000	38.000000	1.000000	4656.548	0.000000
8	11.000000	23.000000	2.000000	7150.966	0.000000
8	12.000000	176.000000	2.000000	1491.207	0.000000
8	13.000000	207.000000	1.000000	3349.437	1.000000
8	14.000000	35.000000	2.000000	1307.412	0.000000
8	15.000000	53.000000	1.000000	894.153	0.000000
8	16.000000	123.000000	2.000000	857.567	0.000000
8	17.000000	6.000000	1.000000	2714.491	0.000000
8	18.000000	59.000000	2.000000	2473.036	0.000000
8	19.000000	39.000000	2.000000	2663.122	0.000000
8	20.000000	160.000000	1.000000	1126.130	0.000000
8	21.000000	32.000000	2.000000	14482.809	0.000000
8	22.000000	208.000000	1.000000	1442.555	0.000000
8	23.000000	220.000000	1.000000	800.769	0.000000
8	24.000000	44.000000	1.000000	1644.767	0.000000
8	25.000000	235.000000	2.000000	931.853	0.000000
8	26.000000	213.000000	2.000000	2052.584	0.000000
8	27.000000	54.000000	1.000000	2324.169	0.000000
8	28.000000	112.000000	2.000000	867.241	0.000000
8	29.000000	8.000000	2.000000	4804.707	0.000000
8	30.000000	30.000000	1.000000	4366.517	1.000000
8	31.000000	43.000000	1.000000	1301.806	0.000000
8	32.000000	136.000000	1.000000	2747.943	1.000000
8	33.000000	48.000000	2.000000	1401.819	0.000000
8	34.000000	57.000000	1.000000	857.941	0.000000
8	35.000000	45.000000	2.000000	1778.689	0.000000
8	36.000000	47.000000	1.000000	993.084	0.000000
8	37.000000	63.000000	2.000000	2283.853	1.000000
8	38.000000	5.000000	2.000000	3276.158	0.000000
8	39.000000	147.000000	1.000000	1113.886	0.000000
8	40.000000	22.000000	1.000000	2974.126	0.000000
8	41.000000	60.000000	1.000000	3582.558	1.000000
8	42.000000	0.000000	1.000000	803.009	0.000000
8	43.000000	223.000000	2.000000	591.133	0.000000
8	44.000000	20.000000	1.000000	2775.225	0.000000
8	45.000000	17.000000	2.000000	1606.939	0.000000
8	46.000000	239.000000	2.000000	1485.297	0.000000
8	47.000000	69.000000	1.000000	1962.777	0.000000
8	48.000000	3.000000	2.000000	1187.018	0.000000
